day_of_year,temp_C,anomaly_C
0.000000,0.600000,2.486667
1.000000,-3.900000,-1.853333
2.000000,-6.500000,-4.316667
6.000000,-3.800000,-1.546667
7.000000,-0.500000,1.740000
8.000000,0.500000,2.756667
9.000000,1.700000,4.050000
10.000000,-1.600000,0.896667
11.000000,-2.800000,-0.346667
12.000000,1.100000,3.520000
13.000000,0.800000,3.213333
14.000000,-2.800000,-0.386667
15.000000,-4.200000,-1.800000
16.000000,-3.500000,-1.086667
17.000000,1.100000,3.403333
18.000000,1.600000,3.713333
19.000000,-0.600000,1.093333
20.000000,-1.800000,-0.713333
21.000000,1.000000,1.576667
22.000000,0.100000,0.793333
23.000000,-2.200000,-1.120000
24.000000,-3.800000,-2.410000
25.000000,1.900000,3.683333
26.000000,1.600000,3.606667
27.000000,0.800000,2.893333
28.000000,0.600000,2.820000
29.000000,1.000000,3.196667
30.000000,0.200000,2.156667
31.000000,-0.600000,1.216667
32.000000,-0.800000,0.883333
33.000000,-0.200000,1.470000
34.000000,0.400000,2.060000
35.000000,-2.500000,-0.933333
36.000000,-7.300000,-5.806667
40.000000,-8.300000,-6.533333
41.000000,-5.400000,-3.383333
42.000000,-2.700000,-0.563333
43.000000,1.500000,3.740000
44.000000,4.400000,6.590000
45.000000,0.000000,2.173333
46.000000,0.500000,2.630000
47.000000,1.500000,3.580000
48.000000,1.900000,4.013333
49.000000,2.200000,4.446667
50.000000,0.400000,2.800000
51.000000,-2.500000,-0.086667
52.000000,-4.600000,-2.436667
53.000000,-0.700000,1.020000
54.000000,-5.300000,-3.920000
55.000000,-5.600000,-4.630000
56.000000,-2.000000,-1.276667
57.000000,-2.300000,-1.776667
58.000000,2.100000,2.513333
59.000000,1.500000,1.836667
60.000000,1.500000,1.870000
61.000000,0.900000,1.203333
62.000000,-1.800000,-1.533333
63.000000,-4.200000,-3.903333
64.000000,-4.200000,-3.846667
65.000000,-2.900000,-2.526667
66.000000,0.200000,0.510000
67.000000,1.200000,1.343333
68.000000,1.400000,1.373333
69.000000,2.200000,2.086667
70.000000,-0.900000,-1.350000
71.000000,0.600000,-0.256667
72.000000,0.600000,-0.403333
73.000000,3.800000,2.706667
74.000000,3.400000,2.390000
75.000000,2.000000,1.033333
76.000000,1.600000,0.633333
77.000000,0.600000,-0.480000
78.000000,0.200000,-1.040000
79.000000,1.600000,0.093333
80.000000,2.300000,0.543333
81.000000,2.500000,0.490000
82.000000,0.500000,-1.640000
83.000000,1.900000,-0.310000
84.000000,4.800000,2.513333
85.000000,6.600000,4.186667
86.000000,2.400000,-0.186667
87.000000,0.400000,-2.226667
88.000000,-0.400000,-3.046667
89.000000,0.200000,-2.303333
90.000000,1.500000,-0.843333
91.000000,4.300000,2.080000
92.000000,3.000000,0.813333
93.000000,3.800000,1.623333
94.000000,3.300000,1.090000
95.000000,4.700000,2.460000
96.000000,4.100000,1.746667
97.000000,3.300000,0.926667
98.000000,3.700000,1.246667
99.000000,6.000000,3.490000
100.000000,4.300000,1.856667
101.000000,1.800000,-0.530000
102.000000,1.200000,-1.196667
103.000000,-0.500000,-3.020000
104.000000,-1.400000,-4.010000
105.000000,-1.700000,-4.376667
106.000000,0.600000,-2.280000
107.000000,0.300000,-2.750000
108.000000,1.200000,-2.056667
109.000000,2.500000,-0.853333
110.000000,5.700000,2.120000
111.000000,3.100000,-0.693333
112.000000,2.900000,-0.960000
113.000000,3.600000,-0.296667
114.000000,2.800000,-1.023333
115.000000,3.200000,-0.473333
116.000000,4.400000,0.773333
117.000000,4.100000,0.363333
118.000000,2.300000,-1.646667
119.000000,2.200000,-2.090000
120.000000,7.600000,2.963333
121.000000,9.400000,4.463333
122.000000,9.200000,3.970000
123.000000,6.700000,1.106667
124.000000,10.100000,4.010000
125.000000,11.100000,4.530000
126.000000,6.100000,-0.770000
127.000000,4.400000,-2.853333
128.000000,1.500000,-6.100000
129.000000,1.500000,-6.393333
130.000000,2.900000,-5.370000
131.000000,5.100000,-3.533333
132.000000,7.500000,-1.306667
133.000000,9.800000,0.690000
134.000000,9.000000,-0.503333
135.000000,7.300000,-2.450000
136.000000,9.400000,-0.456667
137.000000,11.200000,1.440000
138.000000,16.100000,6.440000
140.000000,14.700000,4.936667
141.000000,14.600000,4.860000
142.000000,13.300000,3.280000
143.000000,12.400000,1.980000
144.000000,14.100000,3.320000
145.000000,14.100000,2.903333
146.000000,9.600000,-2.043333
147.000000,13.200000,1.166667
148.000000,14.100000,1.896667
149.000000,9.600000,-2.696667
150.000000,10.800000,-1.690000
151.000000,6.500000,-6.250000
152.000000,6.200000,-6.850000
153.000000,10.000000,-3.320000
154.000000,9.900000,-3.446667
155.000000,10.400000,-2.976667
156.000000,14.500000,1.190000
157.000000,16.400000,3.163333
158.000000,12.300000,-0.900000
159.000000,14.000000,0.853333
160.000000,16.300000,3.193333
161.000000,16.800000,3.696667
162.000000,12.600000,-0.633333
163.000000,12.600000,-0.650000
164.000000,14.800000,1.510000
165.000000,15.100000,1.586667
166.000000,18.400000,4.673333
167.000000,19.300000,5.320000
168.000000,16.900000,2.580000
169.000000,17.800000,3.330000
170.000000,12.700000,-1.910000
171.000000,12.400000,-2.330000
172.000000,12.200000,-2.430000
173.000000,10.800000,-3.773333
174.000000,12.900000,-1.800000
175.000000,14.000000,-0.813333
176.000000,13.500000,-1.370000
177.000000,13.700000,-1.170000
178.000000,15.300000,0.290000
179.000000,16.300000,1.220000
180.000000,17.200000,2.103333
181.000000,14.100000,-1.050000
182.000000,16.400000,1.263333
183.000000,14.500000,-0.506667
184.000000,14.100000,-0.843333
185.000000,14.000000,-0.806667
186.000000,11.500000,-3.370000
187.000000,14.700000,-0.283333
188.000000,16.100000,1.003333
189.000000,17.400000,2.100000
190.000000,18.000000,2.606667
191.000000,16.800000,1.336667
192.000000,16.800000,1.213333
193.000000,14.700000,-1.063333
194.000000,15.300000,-0.590000
195.000000,16.700000,0.760000
196.000000,18.000000,2.023333
197.000000,15.400000,-0.700000
198.000000,15.000000,-1.183333
199.000000,13.700000,-2.583333
200.000000,14.600000,-1.820000
201.000000,15.800000,-0.706667
202.000000,15.600000,-1.093333
203.000000,16.900000,0.163333
204.000000,15.700000,-1.006667
205.000000,16.100000,-0.600000
206.000000,17.200000,0.490000
207.000000,19.000000,2.226667
208.000000,19.100000,2.283333
209.000000,17.800000,0.820000
210.000000,18.300000,1.250000
211.000000,17.800000,0.770000
212.000000,18.900000,1.923333
213.000000,17.500000,0.450000
214.000000,18.200000,1.016667
215.000000,16.600000,-0.726667
216.000000,17.100000,-0.346667
217.000000,16.000000,-1.500000
218.000000,15.200000,-2.320000
219.000000,17.200000,-0.253333
220.000000,18.300000,0.920000
221.000000,18.700000,1.426667
222.000000,18.100000,1.026667
223.000000,19.600000,2.813333
224.000000,17.400000,0.893333
225.000000,16.100000,-0.213333
226.000000,16.400000,0.216667
227.000000,17.600000,1.450000
228.000000,19.000000,2.906667
229.000000,18.000000,1.986667
230.000000,18.200000,2.363333
231.000000,17.400000,1.686667
232.000000,16.200000,0.660000
233.000000,14.900000,-0.486667
234.000000,13.500000,-1.726667
235.000000,12.900000,-2.096667
236.000000,11.200000,-3.540000
237.000000,10.400000,-4.153333
238.000000,10.700000,-3.736667
239.000000,12.000000,-2.270000
240.000000,14.400000,0.213333
241.000000,16.800000,2.670000
242.000000,17.200000,3.186667
243.000000,15.100000,1.266667
244.000000,12.900000,-0.703333
245.000000,12.900000,-0.433333
246.000000,11.900000,-1.116667
247.000000,11.400000,-1.336667
248.000000,10.400000,-2.103333
249.000000,10.300000,-2.120000
250.000000,10.600000,-1.753333
251.000000,13.100000,0.750000
252.000000,14.600000,2.206667
253.000000,14.600000,2.133333
254.000000,14.900000,2.390000
255.000000,14.400000,1.886667
256.000000,12.900000,0.530000
257.000000,12.200000,0.093333
258.000000,12.100000,0.273333
259.000000,9.900000,-1.726667
260.000000,8.700000,-2.803333
261.000000,9.000000,-2.350000
262.000000,9.200000,-2.126667
263.000000,12.400000,1.160000
264.000000,11.500000,0.350000
265.000000,12.800000,1.723333
266.000000,12.500000,1.466667
267.000000,12.600000,1.716667
268.000000,12.000000,1.333333
269.000000,12.100000,1.690000
270.000000,10.100000,-0.013333
271.000000,8.900000,-0.983333
272.000000,8.800000,-0.893333
273.000000,9.100000,-0.463333
274.000000,9.200000,-0.316667
275.000000,8.300000,-1.170000
276.000000,11.200000,1.743333
277.000000,8.800000,-0.510000
278.000000,7.700000,-1.370000
279.000000,8.100000,-0.563333
280.000000,9.300000,1.016667
281.000000,8.600000,0.700000
282.000000,8.100000,0.590000
283.000000,6.900000,-0.260000
284.000000,6.000000,-0.770000
285.000000,7.500000,1.143333
286.000000,7.200000,1.070000
287.000000,8.300000,2.396667
288.000000,10.700000,5.050000
289.000000,8.500000,3.166667
290.000000,8.300000,3.270000
291.000000,4.600000,-0.170000
292.000000,2.000000,-2.503333
293.000000,0.200000,-4.276667
294.000000,0.100000,-4.400000
295.000000,1.300000,-3.180000
296.000000,0.800000,-3.500000
297.000000,2.100000,-2.110000
298.000000,0.300000,-3.863333
299.000000,-0.300000,-4.473333
300.000000,3.300000,-0.870000
301.000000,2.100000,-1.923333
302.000000,1.200000,-2.663333
303.000000,-0.400000,-4.046667
304.000000,0.100000,-3.293333
305.000000,0.500000,-2.726667
306.000000,3.200000,0.056667
307.000000,8.000000,4.813333
308.000000,8.400000,5.146667
309.000000,7.500000,4.213333
310.000000,3.900000,0.586667
311.000000,5.900000,2.596667
312.000000,6.700000,3.373333
313.000000,7.200000,3.740000
314.000000,5.900000,2.310000
315.000000,3.100000,-0.576667
316.000000,2.400000,-1.320000
317.000000,1.800000,-1.980000
318.000000,3.100000,-0.733333
319.000000,3.500000,-0.450000
320.000000,5.800000,1.823333
321.000000,5.900000,1.893333
322.000000,4.000000,-0.066667
323.000000,1.200000,-2.643333
324.000000,0.900000,-2.663333
325.000000,1.000000,-2.273333
326.000000,1.500000,-1.616667
327.000000,6.100000,3.006667
328.000000,4.200000,1.190000
329.000000,2.300000,-0.536667
330.000000,4.600000,1.913333
331.000000,3.900000,1.263333
332.000000,2.800000,0.190000
333.000000,3.100000,0.496667
334.000000,0.900000,-1.656667
335.000000,1.400000,-1.120000
336.000000,5.000000,2.670000
337.000000,1.300000,-0.900000
338.000000,0.000000,-2.100000
339.000000,-1.200000,-3.346667
340.000000,-0.800000,-3.000000
341.000000,5.200000,3.036667
342.000000,4.200000,2.046667
343.000000,2.000000,0.060000
344.000000,1.400000,-0.410000
345.000000,1.600000,-0.196667
346.000000,1.600000,-0.170000
347.000000,1.600000,-0.133333
348.000000,1.700000,-0.066667
349.000000,2.400000,0.653333
350.000000,0.100000,-1.670000
351.000000,2.000000,0.223333
352.000000,1.000000,-0.663333
353.000000,2.600000,0.926667
354.000000,2.500000,0.773333
355.000000,-0.100000,-1.920000
356.000000,1.200000,-0.700000
357.000000,-0.300000,-2.080000
358.000000,0.300000,-1.393333
359.000000,1.900000,0.220000
360.000000,3.800000,2.113333
361.000000,2.800000,1.113333
362.000000,3.800000,2.113333
363.000000,2.500000,0.813333
364.000000,1.600000,-0.083333
