day,temp_C,anomaly_C,outlier_iqr
0,0.600000,2.486667,0
1,-3.900000,-1.853333,0
2,-6.500000,-4.316667,0
3,-12.800000,-10.633333,1
4,-17.800000,-15.666667,1
5,-17.800000,-15.626667,1
6,-3.800000,-1.546667,0
7,-0.500000,1.740000,0
8,0.500000,2.756667,0
9,1.700000,4.050000,0
10,-1.600000,0.896667,0
11,-2.800000,-0.346667,0
12,1.100000,3.520000,0
13,0.800000,3.213333,0
14,-2.800000,-0.386667,0
15,-4.200000,-1.800000,0
16,-3.500000,-1.086667,0
17,1.100000,3.403333,0
18,1.600000,3.713333,0
19,-0.600000,1.093333,0
20,-1.800000,-0.713333,0
21,1.000000,1.576667,0
22,0.100000,0.793333,0
23,-2.200000,-1.120000,0
24,-3.800000,-2.410000,0
25,1.900000,3.683333,0
26,1.600000,3.606667,0
27,0.800000,2.893333,0
28,0.600000,2.820000,0
29,1.000000,3.196667,0
30,0.200000,2.156667,0
31,-0.600000,1.216667,0
32,-0.800000,0.883333,0
33,-0.200000,1.470000,0
34,0.400000,2.060000,0
35,-2.500000,-0.933333,0
36,-7.300000,-5.806667,0
37,-12.100000,-10.490000,1
38,-8.800000,-7.033333,1
39,-10.100000,-8.383333,1
40,-8.300000,-6.533333,0
41,-5.400000,-3.383333,0
42,-2.700000,-0.563333,0
43,1.500000,3.740000,0
44,4.400000,6.590000,0
45,0.000000,2.173333,0
46,0.500000,2.630000,0
47,1.500000,3.580000,0
48,1.900000,4.013333,0
49,2.200000,4.446667,0
50,0.400000,2.800000,0
51,-2.500000,-0.086667,0
52,-4.600000,-2.436667,0
53,-0.700000,1.020000,0
54,-5.300000,-3.920000,0
55,-5.600000,-4.630000,0
56,-2.000000,-1.276667,0
57,-2.300000,-1.776667,0
58,2.100000,2.513333,0
59,1.500000,1.836667,0
60,1.500000,1.870000,0
61,0.900000,1.203333,0
62,-1.800000,-1.533333,0
63,-4.200000,-3.903333,0
64,-4.200000,-3.846667,0
65,-2.900000,-2.526667,0
66,0.200000,0.510000,0
67,1.200000,1.343333,0
68,1.400000,1.373333,0
69,2.200000,2.086667,0
70,-0.900000,-1.350000,0
71,0.600000,-0.256667,0
72,0.600000,-0.403333,0
73,3.800000,2.706667,0
74,3.400000,2.390000,0
75,2.000000,1.033333,0
76,1.600000,0.633333,0
77,0.600000,-0.480000,0
78,0.200000,-1.040000,0
79,1.600000,0.093333,0
80,2.300000,0.543333,0
81,2.500000,0.490000,0
82,0.500000,-1.640000,0
83,1.900000,-0.310000,0
84,4.800000,2.513333,0
85,6.600000,4.186667,0
86,2.400000,-0.186667,0
87,0.400000,-2.226667,0
88,-0.400000,-3.046667,0
89,0.200000,-2.303333,0
90,1.500000,-0.843333,0
91,4.300000,2.080000,0
92,3.000000,0.813333,0
93,3.800000,1.623333,0
94,3.300000,1.090000,0
95,4.700000,2.460000,0
96,4.100000,1.746667,0
97,3.300000,0.926667,0
98,3.700000,1.246667,0
99,6.000000,3.490000,0
100,4.300000,1.856667,0
101,1.800000,-0.530000,0
102,1.200000,-1.196667,0
103,-0.500000,-3.020000,0
104,-1.400000,-4.010000,0
105,-1.700000,-4.376667,0
106,0.600000,-2.280000,0
107,0.300000,-2.750000,0
108,1.200000,-2.056667,0
109,2.500000,-0.853333,0
110,5.700000,2.120000,0
111,3.100000,-0.693333,0
112,2.900000,-0.960000,0
113,3.600000,-0.296667,0
114,2.800000,-1.023333,0
115,3.200000,-0.473333,0
116,4.400000,0.773333,0
117,4.100000,0.363333,0
118,2.300000,-1.646667,0
119,2.200000,-2.090000,0
120,7.600000,2.963333,0
121,9.400000,4.463333,0
122,9.200000,3.970000,0
123,6.700000,1.106667,0
124,10.100000,4.010000,0
125,11.100000,4.530000,0
126,6.100000,-0.770000,0
127,4.400000,-2.853333,0
128,1.500000,-6.100000,0
129,1.500000,-6.393333,0
130,2.900000,-5.370000,0
131,5.100000,-3.533333,0
132,7.500000,-1.306667,0
133,9.800000,0.690000,0
134,9.000000,-0.503333,0
135,7.300000,-2.450000,0
136,9.400000,-0.456667,0
137,11.200000,1.440000,0
138,16.100000,6.440000,0
139,16.900000,7.130000,1
140,14.700000,4.936667,0
141,14.600000,4.860000,0
142,13.300000,3.280000,0
143,12.400000,1.980000,0
144,14.100000,3.320000,0
145,14.100000,2.903333,0
146,9.600000,-2.043333,0
147,13.200000,1.166667,0
148,14.100000,1.896667,0
149,9.600000,-2.696667,0
150,10.800000,-1.690000,0
151,6.500000,-6.250000,0
152,6.200000,-6.850000,0
153,10.000000,-3.320000,0
154,9.900000,-3.446667,0
155,10.400000,-2.976667,0
156,14.500000,1.190000,0
157,16.400000,3.163333,0
158,12.300000,-0.900000,0
159,14.000000,0.853333,0
160,16.300000,3.193333,0
161,16.800000,3.696667,0
162,12.600000,-0.633333,0
163,12.600000,-0.650000,0
164,14.800000,1.510000,0
165,15.100000,1.586667,0
166,18.400000,4.673333,0
167,19.300000,5.320000,0
168,16.900000,2.580000,0
169,17.800000,3.330000,0
170,12.700000,-1.910000,0
171,12.400000,-2.330000,0
172,12.200000,-2.430000,0
173,10.800000,-3.773333,0
174,12.900000,-1.800000,0
175,14.000000,-0.813333,0
176,13.500000,-1.370000,0
177,13.700000,-1.170000,0
178,15.300000,0.290000,0
179,16.300000,1.220000,0
180,17.200000,2.103333,0
181,14.100000,-1.050000,0
182,16.400000,1.263333,0
183,14.500000,-0.506667,0
184,14.100000,-0.843333,0
185,14.000000,-0.806667,0
186,11.500000,-3.370000,0
187,14.700000,-0.283333,0
188,16.100000,1.003333,0
189,17.400000,2.100000,0
190,18.000000,2.606667,0
191,16.800000,1.336667,0
192,16.800000,1.213333,0
193,14.700000,-1.063333,0
194,15.300000,-0.590000,0
195,16.700000,0.760000,0
196,18.000000,2.023333,0
197,15.400000,-0.700000,0
198,15.000000,-1.183333,0
199,13.700000,-2.583333,0
200,14.600000,-1.820000,0
201,15.800000,-0.706667,0
202,15.600000,-1.093333,0
203,16.900000,0.163333,0
204,15.700000,-1.006667,0
205,16.100000,-0.600000,0
206,17.200000,0.490000,0
207,19.000000,2.226667,0
208,19.100000,2.283333,0
209,17.800000,0.820000,0
210,18.300000,1.250000,0
211,17.800000,0.770000,0
212,18.900000,1.923333,0
213,17.500000,0.450000,0
214,18.200000,1.016667,0
215,16.600000,-0.726667,0
216,17.100000,-0.346667,0
217,16.000000,-1.500000,0
218,15.200000,-2.320000,0
219,17.200000,-0.253333,0
220,18.300000,0.920000,0
221,18.700000,1.426667,0
222,18.100000,1.026667,0
223,19.600000,2.813333,0
224,17.400000,0.893333,0
225,16.100000,-0.213333,0
226,16.400000,0.216667,0
227,17.600000,1.450000,0
228,19.000000,2.906667,0
229,18.000000,1.986667,0
230,18.200000,2.363333,0
231,17.400000,1.686667,0
232,16.200000,0.660000,0
233,14.900000,-0.486667,0
234,13.500000,-1.726667,0
235,12.900000,-2.096667,0
236,11.200000,-3.540000,0
237,10.400000,-4.153333,0
238,10.700000,-3.736667,0
239,12.000000,-2.270000,0
240,14.400000,0.213333,0
241,16.800000,2.670000,0
242,17.200000,3.186667,0
243,15.100000,1.266667,0
244,12.900000,-0.703333,0
245,12.900000,-0.433333,0
246,11.900000,-1.116667,0
247,11.400000,-1.336667,0
248,10.400000,-2.103333,0
249,10.300000,-2.120000,0
250,10.600000,-1.753333,0
251,13.100000,0.750000,0
252,14.600000,2.206667,0
253,14.600000,2.133333,0
254,14.900000,2.390000,0
255,14.400000,1.886667,0
256,12.900000,0.530000,0
257,12.200000,0.093333,0
258,12.100000,0.273333,0
259,9.900000,-1.726667,0
260,8.700000,-2.803333,0
261,9.000000,-2.350000,0
262,9.200000,-2.126667,0
263,12.400000,1.160000,0
264,11.500000,0.350000,0
265,12.800000,1.723333,0
266,12.500000,1.466667,0
267,12.600000,1.716667,0
268,12.000000,1.333333,0
269,12.100000,1.690000,0
270,10.100000,-0.013333,0
271,8.900000,-0.983333,0
272,8.800000,-0.893333,0
273,9.100000,-0.463333,0
274,9.200000,-0.316667,0
275,8.300000,-1.170000,0
276,11.200000,1.743333,0
277,8.800000,-0.510000,0
278,7.700000,-1.370000,0
279,8.100000,-0.563333,0
280,9.300000,1.016667,0
281,8.600000,0.700000,0
282,8.100000,0.590000,0
283,6.900000,-0.260000,0
284,6.000000,-0.770000,0
285,7.500000,1.143333,0
286,7.200000,1.070000,0
287,8.300000,2.396667,0
288,10.700000,5.050000,0
289,8.500000,3.166667,0
290,8.300000,3.270000,0
291,4.600000,-0.170000,0
292,2.000000,-2.503333,0
293,0.200000,-4.276667,0
294,0.100000,-4.400000,0
295,1.300000,-3.180000,0
296,0.800000,-3.500000,0
297,2.100000,-2.110000,0
298,0.300000,-3.863333,0
299,-0.300000,-4.473333,0
300,3.300000,-0.870000,0
301,2.100000,-1.923333,0
302,1.200000,-2.663333,0
303,-0.400000,-4.046667,0
304,0.100000,-3.293333,0
305,0.500000,-2.726667,0
306,3.200000,0.056667,0
307,8.000000,4.813333,0
308,8.400000,5.146667,0
309,7.500000,4.213333,0
310,3.900000,0.586667,0
311,5.900000,2.596667,0
312,6.700000,3.373333,0
313,7.200000,3.740000,0
314,5.900000,2.310000,0
315,3.100000,-0.576667,0
316,2.400000,-1.320000,0
317,1.800000,-1.980000,0
318,3.100000,-0.733333,0
319,3.500000,-0.450000,0
320,5.800000,1.823333,0
321,5.900000,1.893333,0
322,4.000000,-0.066667,0
323,1.200000,-2.643333,0
324,0.900000,-2.663333,0
325,1.000000,-2.273333,0
326,1.500000,-1.616667,0
327,6.100000,3.006667,0
328,4.200000,1.190000,0
329,2.300000,-0.536667,0
330,4.600000,1.913333,0
331,3.900000,1.263333,0
332,2.800000,0.190000,0
333,3.100000,0.496667,0
334,0.900000,-1.656667,0
335,1.400000,-1.120000,0
336,5.000000,2.670000,0
337,1.300000,-0.900000,0
338,0.000000,-2.100000,0
339,-1.200000,-3.346667,0
340,-0.800000,-3.000000,0
341,5.200000,3.036667,0
342,4.200000,2.046667,0
343,2.000000,0.060000,0
344,1.400000,-0.410000,0
345,1.600000,-0.196667,0
346,1.600000,-0.170000,0
347,1.600000,-0.133333,0
348,1.700000,-0.066667,0
349,2.400000,0.653333,0
350,0.100000,-1.670000,0
351,2.000000,0.223333,0
352,1.000000,-0.663333,0
353,2.600000,0.926667,0
354,2.500000,0.773333,0
355,-0.100000,-1.920000,0
356,1.200000,-0.700000,0
357,-0.300000,-2.080000,0
358,0.300000,-1.393333,0
359,1.900000,0.220000,0
360,3.800000,2.113333,0
361,2.800000,1.113333,0
362,3.800000,2.113333,0
363,2.500000,0.813333,0
364,1.600000,-0.083333,0
